Age,Gender,Marital Status,Occupation,Monthly Income,Educational Qualifications,Family size,latitude,longitude,Pin code,Medium (P1),Medium (P2),Meal(P1),Meal(P2),Perference(P1),Perference(P2),Ease and convenient,Time saving,More restaurant choices,Easy Payment option,More Offers and Discount,Good Food quality,Good Tracking system,Self Cooking,Health Concern,Late Delivery,Poor Hygiene,Bad past experience,Unavailability,Unaffordable,Long delivery time,Delay of delivery person getting assigned,Delay of delivery person picking up food,Wrong order delivered,Missing item,Order placed by mistake,Influence of time,Order Time,Maximum wait time,Residence in busy location,Google Maps Accuracy,Good Road Condition,Low quantity low time,Delivery person ability,Influence of rating,Less Delivery time,High Quality of package,Number of calls,Politeness,Freshness ,Temperature,Good Taste ,Good Quantity,Output,Reviews,Allergies,Food not allowed
22,Female,Single,Student,No Income,Post Graduate,5,12.985,77.5533,560010,Food delivery apps, Direct call,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Agree,Strongly Agree,Neutral,Agree,Yes,Important,Very Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Yes,Nil,Citrus Allergy,Lime
23,Male,Single,Student,Below Rs.10000,Post Graduate,2,12.977,77.5773,560009,Food delivery apps, Walk-in,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Maybe,Weekend (Sat & Sun),45 minutes,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Yes,Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Very Important,Yes,Language barrier is also one major issue. Moslty these delivery boys are only familiar with Kanada which creates a problem while addressing any issue.,Citrus Allergy,Lemon
23,Male,Single,Student,No Income,Post Graduate,5,12.8988,77.5764,560078,Walk-in, Direct call,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Bakery items (snacks),Agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Disagree,Strongly disagree,Strongly disagree,Yes,Weekend (Sat & Sun),30 minutes,Agree,Agree,Neutral,Disagree,Agree,Maybe,Slightly Important,Unimportant,Slightly Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Slightly Important,Yes,Nil,Fish Allergy,Shelled mollusc
21,Male,Single,Student,No Income,Graduate,4,12.977,77.5773,560009,Walk-in, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Agree,Strongly disagree,Disagree,Strongly disagree,No,Weekend (Sat & Sun),30 minutes,Agree,Neutral,Disagree,Strongly Agree,Agree,Yes,Important,Important,Slightly Important,Moderately Important,Very Important,Very Important,Very Important,Very Important,Yes,Nil,Oral Allergy Syndrome,Loquat
23,Female,Single,Self Employeed,10001 to 25000,Post Graduate,5,12.9438,77.5738,560004,Food delivery apps, Walk-in,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Sweets,Agree,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Disagree,Yes,Anytime (Mon-Sun),45 minutes,Neutral,Strongly Agree,Strongly Agree,Disagree,Agree,Yes,Moderately Important,Important,Moderately Important,Important,Very Important,Important,Very Important,Very Important,Yes,NIL,Pepper Allergy,Sansho
24,Female,Single,Student,No Income,Post Graduate,6,12.8893,77.6399,560068,Food delivery apps, Walk-in,Lunch, Snacks,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Maybe,Anytime (Mon-Sun),30 minutes,Strongly Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Yes,Moderately Important,Moderately Important,Moderately Important,Important,Very Important,Very Important,Very Important,Very Important,Yes,NIL,Legume Allergy,Green soybean
28,Female,Single,Employee,25001 to 50000,Post Graduate,2,12.9783,77.6408,560038,Walk-in, Direct call,Dinner, Dinner,Veg foods (Breakfast / Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,No,Anytime (Mon-Sun),60 minutes,Neutral,Neutral,Agree,Agree,Agree,No,Unimportant,Unimportant,Unimportant,Slightly Important,Very Important,Moderately Important,Important,Important,Yes,NIL,Sugar Allergy / Intolerance,Fructose
23,Female,Single,Student,No Income,Graduate,3,12.982,77.6256,560008,Food delivery apps, Walk-in,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Strongly agree,Neutral,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Yes,Anytime (Mon-Sun),45 minutes,Disagree,Agree,Neutral,Agree,Neutral,Yes,Important,Very Important,Slightly Important,Important,Very Important,Very Important,Very Important,Important,Yes,"Spillage, bad packaging and missing items ",Salicylate Allergy,Blackberry
25,Male,Single,Student,No Income,Graduate,4,12.8988,77.5764,560078,Food delivery apps, Walk-in,Lunch, Snacks,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly disagree,Strongly agree,Neutral,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Neutral,Neutral,Yes,Anytime (Mon-Sun),45 minutes,Strongly Agree,Strongly Agree,Agree,Strongly disagree,Strongly Agree,Yes,Slightly Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Once my order from kfc got exchanged with someone else. Fault was delivery boy's. ,Fish Allergy,Salmon
21,Female,Single,Student,Below Rs.10000,Post Graduate,1,12.9783,77.6408,560038,Food delivery apps, Direct call,Dinner, Dinner,Veg foods (Breakfast / Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Strongly disagree,Agree,Strongly disagree,Neutral,Agree,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Agree,Strongly disagree,Agree,Maybe,Anytime (Mon-Sun),45 minutes,Neutral,Disagree,Neutral,Neutral,Neutral,Yes,Slightly Important,Very Important,Slightly Important,Slightly Important,Very Important,Very Important,Very Important,Very Important,Yes,Nil,Gluten Allergy,Wheat
24,Male,Single,Student,No Income,Post Graduate,3,12.977,77.5773,560009,Food delivery apps, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Yes,Weekend (Sat & Sun),More than 60 minutes,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Yes,Important,Very Important,Important,Important,Very Important,Important,Very Important,Important,Yes,NIL,Legume Allergy,White bean
22,Male,Single,Student,No Income,Post Graduate,4,13.0298,77.6047,560032,Food delivery apps, Direct call,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Strongly agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Agree,Strongly Agree,Disagree,Agree,Yes,Very Important,Very Important,Moderately Important,Important,Very Important,Moderately Important,Very Important,Very Important,Yes,Nil,LTP Allergy,Lettuce 
22,Female,Single,Student,No Income,Graduate,4,12.9983,77.6409,560033,Food delivery apps, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Yes,Weekdays (Mon-Fri),45 minutes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Yes,Very Important,Important,Slightly Important,Slightly Important,Very Important,Important,Important,Important,Yes,I feel Swiggy has a good interface for users and the delivery time to my place in Bangalore taken by Swiggy is less than Zomato when ordered from same restaurant ,Allium Allergy,Onion
23,Male,Single,Student,No Income,Graduate,4,12.9925,77.5633,560021,Food delivery apps, Walk-in,Lunch, Dinner,Veg foods (Breakfast / Lunch / Dinner), Ice cream / Cool drinks,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Yes,Weekdays (Mon-Fri),30 minutes,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Important,Important,Important,Important,Important,Important,Important,Important,Yes,NIL,Histamine Allergy,Okra
21,Male,Single,Student,Below Rs.10000,Post Graduate,3,12.9306,77.5434,560085,Walk-in, Direct call,Breakfast, Snacks,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,No,Anytime (Mon-Sun),45 minutes,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Maybe,Moderately Important,Important,Moderately Important,Moderately Important,Moderately Important,Important,Important,Important,Yes,NIL,Insulin Allergy,Endive
25,Male,Single,Student,No Income,Post Graduate,3,12.982,77.6256,560008,Walk-in, Direct call,Dinner, Dinner,Veg foods (Breakfast / Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Yes,Anytime (Mon-Sun),30 minutes,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Yes,Nil,Nut Allergy,Chestnut
22,Female,Single,Student,No Income,Post Graduate,5,12.9353,77.5585,560050,Food delivery apps, Direct call,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Agree,Yes,Anytime (Mon-Sun),45 minutes,Neutral,Agree,Agree,Agree,Agree,Yes,Moderately Important,Important,Important,Important,Important,Important,Important,Important,Yes,NIL,Pepper Allergy,Sansho
22,Male,Single,Student,No Income,Post Graduate,3,12.9155,77.5135,560098,Food delivery apps, Walk-in,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Sweets,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Strongly agree,Neutral,Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Agree,No,Anytime (Mon-Sun),45 minutes,Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Yes,Slightly Important,Important,Very Important,Very Important,Important,Important,Very Important,Very Important,Yes,Nil,,Sunflower oil
23,Female,Single,Employee,10001 to 25000,Graduate,3,12.9854,77.7081,560048,Walk-in, Direct call,Snacks, Dinner,Bakery items (snacks), Veg foods (Breakfast / Lunch / Dinner),Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Maybe,Weekend (Sat & Sun),30 minutes,Neutral,Neutral,Neutral,Disagree,Neutral,Maybe,Important,Important,Moderately Important,Moderately Important,Important,Important,Important,Important,Yes,NIL,,Groundnut oil
22,Male,Single,Student,Below Rs.10000,Post Graduate,4,13.0019,77.5713,560003,Walk-in, Direct call,Snacks, Dinner,Veg foods (Breakfast / Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Yes,Weekend (Sat & Sun),15 minutes,Agree,Neutral,Agree,Agree,Neutral,No,Important,Very Important,Moderately Important,Important,Important,Very Important,Very Important,Very Important,Yes,No,Oral Allergy Syndrome,Avocado
22,Female,Single,Employee,10001 to 25000,Graduate,5,12.9698,77.75,560066,Food delivery apps, Direct call,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Neutral,Strongly agree,Disagree,Agree,Neutral,Neutral,Agree,Strongly agree,Strongly disagree,Yes,Weekend (Sat & Sun),45 minutes,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Yes,Important,Important,Important,Very Important,Very Important,Important,Very Important,Very Important,Yes,NIL,Hypersensitivity,Mitsuba
22,Male,Single,Student,No Income,Post Graduate,4,12.9783,77.6408,560038,Food delivery apps, Direct call,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Agree,Agree,Neutral,Agree,Yes,Moderately Important,Moderately Important,Slightly Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Yes,NIL,Alpha-gal Syndrome,Sheep
25,Male,Married,Employee,More than 50000,Ph.D,4,12.9261,77.6221,560034,Food delivery apps, Direct call,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Agree,Agree,Agree,Disagree,Neutral,Agree,Neutral,Agree,Strongly agree,Strongly disagree,Agree,Agree,Disagree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Disagree,Agree,Agree,Agree,Yes,Very Important,Slightly Important,Very Important,Moderately Important,Important,Moderately Important,Very Important,Important,Yes,I expect faster delivery in my area,Tannin Allergy,Tea
22,Female,Single,Student,10001 to 25000,Post Graduate,5,12.985,77.5533,560010,Walk-in, Direct call,Dinner, Dinner,Veg foods (Breakfast / Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Disagree,Yes,Weekend (Sat & Sun),15 minutes,Agree,Agree,Agree,Agree,Agree,Yes,Important,Important,Moderately Important,Important,Very Important,Very Important,Very Important,Very Important,Yes,Nil,Nightshade Allergy,Tomato
22,Female,Single,Student,No Income,Post Graduate,2,12.9119,77.6446,560102,Food delivery apps, Direct call,Lunch, Snacks,Veg foods (Breakfast / Lunch / Dinner), Ice cream / Cool drinks,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Strongly agree,Disagree,Agree,Strongly agree,Disagree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Yes,Weekend (Sat & Sun),15 minutes,Agree,Agree,Disagree,Agree,Strongly Agree,Yes,Very Important,Very Important,Moderately Important,Important,Very Important,Important,Very Important,Important,Yes,NIL,Histamine Allergy,Okra
25,Male,Single,Student,10001 to 25000,Post Graduate,3,12.9306,77.5434,560085,Food delivery apps, Walk-in,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Agree,Strongly disagree,Yes,Anytime (Mon-Sun),45 minutes,Strongly disagree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Yes,Moderately Important,Very Important,Very Important,Moderately Important,Very Important,Very Important,Very Important,Important,Yes,Nil,Tannin Allergy,Tea
25,Male,Single,Student,No Income,Post Graduate,5,12.977,77.5773,560009,Food delivery apps, Walk-in,Lunch, Snacks,Veg foods (Breakfast / Lunch / Dinner), Sweets,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Neutral,Disagree,Strongly agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Yes,Anytime (Mon-Sun),45 minutes,Neutral,Agree,Neutral,Disagree,Agree,Maybe,Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Very Important,No,"Now days delivery ?? is improved a lot like fast delivery ,but now corna time many people are hesitating to order ",Broccoli allergy,Broccoli
32,Female,Prefer not to say,House wife,No Income,Graduate,5,12.982,77.6256,560008,Food delivery apps, Web browser,Breakfast, Lunch,Non Veg foods (Lunch / Dinner), Sweets,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Yes,Weekdays (Mon-Fri),60 minutes,Agree,Agree,Strongly disagree,Agree,Neutral,Yes,Important,Important,Slightly Important,Important,Moderately Important,Important,Slightly Important,Important,Yes,I love zomato but it requires quality in deliver service. ,,Pumpkin
23,Female,Single,Student,No Income,Post Graduate,3,12.9438,77.5738,560004,Food delivery apps, Walk-in,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Yes,Weekend (Sat & Sun),45 minutes,Neutral,Agree,Agree,Disagree,Agree,Yes,Very Important,Very Important,Moderately Important,Important,Very Important,Important,Very Important,Very Important,Yes,NIL,Legume Allergy,Lima bean
23,Female,Single,Student,No Income,Post Graduate,4,12.8988,77.5764,560078,Walk-in, Direct call,Breakfast, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Yes,Weekend (Sat & Sun),45 minutes,Agree,Neutral,Agree,Neutral,Neutral,Yes,Moderately Important,Moderately Important,Slightly Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Yes,NIL,Alpha-gal Syndrome,Horse
30,Male,Married,Self Employeed,More than 50000,Uneducated,4,12.9662,77.6068,560025,Food delivery apps, Web browser,Lunch, Snacks,Veg foods (Breakfast / Lunch / Dinner), Sweets,Agree,Strongly agree,Agree,Disagree,Neutral,Agree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Yes,Weekdays (Mon-Fri),More than 60 minutes,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Yes,Important,Important,Moderately Important,Important,Important,Moderately Important,Important,Important,Yes,Prefer hygienic delivery people,Stone Fruit Allergy,Japanese plum
